state,county,year_short,candidate_votes,party,county_fips,year
ALABAMA,ETOWAH,2012,29130,REPUBLICAN,01055,1970-01-01 00:00:00.000002012
ALABAMA,ETOWAH,2016,32353,REPUBLICAN,01055,1970-01-01 00:00:00.000002016
ALABAMA,ETOWAH,2020,35528,REPUBLICAN,01055,1970-01-01 00:00:00.000002020
ALABAMA,FAYETTE,2000,4582,REPUBLICAN,01057,1970-01-01 00:00:00.000002000
ALABAMA,FAYETTE,2004,5534,REPUBLICAN,01057,1970-01-01 00:00:00.000002004
ALABAMA,FAYETTE,2008,5883,REPUBLICAN,01057,1970-01-01 00:00:00.000002008
ALABAMA,FAYETTE,2012,6054,REPUBLICAN,01057,1970-01-01 00:00:00.000002012
ALABAMA,FAYETTE,2016,6712,REPUBLICAN,01057,1970-01-01 00:00:00.000002016
ALABAMA,FAYETTE,2020,7300,REPUBLICAN,01057,1970-01-01 00:00:00.000002020
ALABAMA,FRANKLIN,2000,6119,REPUBLICAN,01059,1970-01-01 00:00:00.000002000
ALABAMA,FRANKLIN,2004,7690,REPUBLICAN,01059,1970-01-01 00:00:00.000002004
ALABAMA,FRANKLIN,2008,8048,REPUBLICAN,01059,1970-01-01 00:00:00.000002008
ALABAMA,FRANKLIN,2012,7567,REPUBLICAN,01059,1970-01-01 00:00:00.000002012
ALABAMA,FRANKLIN,2016,9466,REPUBLICAN,01059,1970-01-01 00:00:00.000002016
ALABAMA,FRANKLIN,2020,10376,REPUBLICAN,01059,1970-01-01 00:00:00.000002020
ALABAMA,GENEVA,2000,6588,REPUBLICAN,01061,1970-01-01 00:00:00.000002000
ALABAMA,GENEVA,2004,8342,REPUBLICAN,01061,1970-01-01 00:00:00.000002004
ALABAMA,GENEVA,2008,9417,REPUBLICAN,01061,1970-01-01 00:00:00.000002008
ALABAMA,GENEVA,2012,9175,REPUBLICAN,01061,1970-01-01 00:00:00.000002012
ALABAMA,GENEVA,2016,9994,REPUBLICAN,01061,1970-01-01 00:00:00.000002016
ALABAMA,GENEVA,2020,10848,REPUBLICAN,01061,1970-01-01 00:00:00.000002020
ALABAMA,GREENE,2000,3504,DEMOCRAT,01063,1970-01-01 00:00:00.000002000
ALABAMA,GREENE,2004,3764,DEMOCRAT,01063,1970-01-01 00:00:00.000002004
ALABAMA,GREENE,2008,4408,DEMOCRAT,01063,1970-01-01 00:00:00.000002008
ALABAMA,GREENE,2012,4521,DEMOCRAT,01063,1970-01-01 00:00:00.000002012
ALABAMA,GREENE,2016,4013,DEMOCRAT,01063,1970-01-01 00:00:00.000002016
ALABAMA,GREENE,2020,3884,DEMOCRAT,01063,1970-01-01 00:00:00.000002020
ALABAMA,HALE,2000,4652,DEMOCRAT,01065,1970-01-01 00:00:00.000002000
ALABAMA,HALE,2004,4631,DEMOCRAT,01065,1970-01-01 00:00:00.000002004
ALABAMA,HALE,2008,4982,DEMOCRAT,01065,1970-01-01 00:00:00.000002008
ALABAMA,HALE,2012,5411,DEMOCRAT,01065,1970-01-01 00:00:00.000002012
ALABAMA,HALE,2016,4775,DEMOCRAT,01065,1970-01-01 00:00:00.000002016
ALABAMA,HALE,2020,4663,DEMOCRAT,01065,1970-01-01 00:00:00.000002020
ALABAMA,HENRY,2000,4054,REPUBLICAN,01067,1970-01-01 00:00:00.000002000
ALABAMA,HENRY,2004,4881,REPUBLICAN,01067,1970-01-01 00:00:00.000002004
ALABAMA,HENRY,2008,5585,REPUBLICAN,01067,1970-01-01 00:00:00.000002008
ALABAMA,HENRY,2012,5628,REPUBLICAN,01067,1970-01-01 00:00:00.000002012
ALABAMA,HENRY,2016,5632,REPUBLICAN,01067,1970-01-01 00:00:00.000002016
ALABAMA,HENRY,2020,6607,REPUBLICAN,01067,1970-01-01 00:00:00.000002020
ALABAMA,HOUSTON,2000,22150,REPUBLICAN,01069,1970-01-01 00:00:00.000002000
ALABAMA,HOUSTON,2004,26874,REPUBLICAN,01069,1970-01-01 00:00:00.000002004
ALABAMA,HOUSTON,2008,29254,REPUBLICAN,01069,1970-01-01 00:00:00.000002008
ALABAMA,HOUSTON,2012,29270,REPUBLICAN,01069,1970-01-01 00:00:00.000002012
ALABAMA,HOUSTON,2016,30728,REPUBLICAN,01069,1970-01-01 00:00:00.000002016
ALABAMA,HOUSTON,2020,32618,REPUBLICAN,01069,1970-01-01 00:00:00.000002020
ALABAMA,JACKSON,2000,9066,DEMOCRAT,01071,1970-01-01 00:00:00.000002000
ALABAMA,JACKSON,2004,11534,REPUBLICAN,01071,1970-01-01 00:00:00.000002004
ALABAMA,JACKSON,2008,14083,REPUBLICAN,01071,1970-01-01 00:00:00.000002008
ALABAMA,JACKSON,2012,14439,REPUBLICAN,01071,1970-01-01 00:00:00.000002012
ALABAMA,JACKSON,2016,16672,REPUBLICAN,01071,1970-01-01 00:00:00.000002016
ALABAMA,JACKSON,2020,19670,REPUBLICAN,01071,1970-01-01 00:00:00.000002020
ALABAMA,JEFFERSON,2000,138491,REPUBLICAN,01073,1970-01-01 00:00:00.000002000
ALABAMA,JEFFERSON,2004,158680,REPUBLICAN,01073,1970-01-01 00:00:00.000002004
ALABAMA,JEFFERSON,2008,166121,DEMOCRAT,01073,1970-01-01 00:00:00.000002008
ALABAMA,JEFFERSON,2012,159876,DEMOCRAT,01073,1970-01-01 00:00:00.000002012
ALABAMA,JEFFERSON,2016,156873,DEMOCRAT,01073,1970-01-01 00:00:00.000002016
ALABAMA,JEFFERSON,2020,181688,DEMOCRAT,01073,1970-01-01 00:00:00.000002020
ALABAMA,LAMAR,2000,4470,REPUBLICAN,01075,1970-01-01 00:00:00.000002000
ALABAMA,LAMAR,2004,4894,REPUBLICAN,01075,1970-01-01 00:00:00.000002004
ALABAMA,LAMAR,2008,5419,REPUBLICAN,01075,1970-01-01 00:00:00.000002008
ALABAMA,LAMAR,2012,5457,REPUBLICAN,01075,1970-01-01 00:00:00.000002012
ALABAMA,LAMAR,2016,5823,REPUBLICAN,01075,1970-01-01 00:00:00.000002016
ALABAMA,LAMAR,2020,6174,REPUBLICAN,01075,1970-01-01 00:00:00.000002020
ALABAMA,LAUDERDALE,2000,17478,REPUBLICAN,01077,1970-01-01 00:00:00.000002000
ALABAMA,LAUDERDALE,2004,22161,REPUBLICAN,01077,1970-01-01 00:00:00.000002004
ALABAMA,LAUDERDALE,2008,24068,REPUBLICAN,01077,1970-01-01 00:00:00.000002008
ALABAMA,LAUDERDALE,2012,23911,REPUBLICAN,01077,1970-01-01 00:00:00.000002012
ALABAMA,LAUDERDALE,2016,27899,REPUBLICAN,01077,1970-01-01 00:00:00.000002016
